Trial,CorrectResponse,Response,Correct,Offset,StepSize,Reversals,CurrentDirection,NextDirection
1,1,1,True,64.00,4,0,down,down
2,3,3,True,64.00,4,0,down,down
3,3,3,True,16.00,4,0,down,down
4,1,1,True,16.00,4,0,down,down
5,1,1,True,4.00,4,0,down,down
6,1,3,False,4.00,2,1,down,up
7,1,1,True,8.00,2,1,up,down
8,1,1,True,8.00,2,1,down,down
9,1,1,True,4.00,2,1,down,down
10,1,1,True,4.00,2,1,down,down
11,3,3,True,2.00,2,1,down,down
12,1,3,False,2.00,1,2,down,up
13,1,3,False,2.83,1,2,up,up
14,3,3,True,4.00,1,2,up,down
15,3,3,True,4.00,2,2,down,down
16,1,3,False,2.00,1,3,down,up
17,1,1,True,2.83,1,3,up,down
18,1,1,True,2.83,1,3,down,down
19,3,3,True,2.00,1,3,down,down
20,1,1,True,2.00,1,3,down,down
